parent_id,parent_name,min_rake,max_rake,min_rake_style,max_rake_style,pref_style
1,Airport Lake,-132,-90,normal oblique,normal,normal
2,Almanor,-135,-135,normal oblique,normal oblique,normal oblique
4,Anacapa - Dume [2],33,164,reverse oblique,strike-slip,reverse oblique
5,Anaheim,48,104,reverse oblique,reverse,reverse oblique
6,Ash Hill,180,180,strike-slip,strike-slip,strike-slip
7,Baker,-177,180,strike-slip,strike-slip,strike-slip
8,Bartlett Springs,107,180,reverse,strike-slip,strike-slip
9,Battle Creek,90,90,reverse,reverse,reverse
10,Bear River,90,173,reverse,strike-slip,reverse
11,Bennett Valley,177,180,strike-slip,strike-slip,strike-slip
12,Bicycle Lake,0,0,strike-slip,strike-slip,strike-slip
13,Big Lagoon - Bald Mountain,90,172,reverse,strike-slip,reverse
14,Big Pine (center),50,176,reverse oblique,strike-slip,strike-slip
15,Big Pine (east),45,179,reverse oblique,strike-slip,strike-slip
16,Big Pine (west),76,128,reverse,reverse oblique,reverse
17,Blackwater,180,180,strike-slip,strike-slip,strike-slip
18,Blue Cut,0,0,strike-slip,strike-slip,strike-slip
20,Brawley [2],150,180,reverse oblique,strike-slip,strike-slip
21,Breckenridge,-90,53,normal,reverse oblique,normal
22,Bullion Mountains,180,180,strike-slip,strike-slip,strike-slip
23,Burnt Mountain,180,180,strike-slip,strike-slip,strike-slip
24,Butano,98,179,reverse,strike-slip,reverse oblique
25,Cady,0,0,strike-slip,strike-slip,strike-slip
26,Calico - Hidalgo,0,180,strike-slip,strike-slip,strike-slip
27,Camp Rock,180,180,strike-slip,strike-slip,strike-slip
28,Canada David,-127,-90,normal oblique,normal,normal
29,Carlsbad,90,177,reverse,strike-slip,reverse oblique
30,Casmalia,48,179,reverse oblique,strike-slip,strike-slip
31,Cedar Mountain - Mahogany Mountain,-90,-90,normal,normal,normal
32,Cerro Prieto,180,180,strike-slip,strike-slip,strike-slip
33,Channel Islands,40,126,reverse oblique,reverse oblique,reverse oblique
34,Channel Islands (ramp),44,125,reverse oblique,reverse oblique,reverse
36,Chino [2],150,178,reverse oblique,strike-slip,reverse oblique
37,Clamshell - Sawpit,40,151,reverse oblique,reverse oblique,reverse
38,Clayton,94,180,reverse,strike-slip,reverse oblique
39,Cleghorn,0,180,strike-slip,strike-slip,strike-slip
40,Cleghorn Lake,180,180,strike-slip,strike-slip,strike-slip
41,Cleghorn Pass,180,180,strike-slip,strike-slip,strike-slip
42,Collayomi,180,180,strike-slip,strike-slip,strike-slip
43,Compton,41,160,reverse oblique,strike-slip,reverse oblique
44,Concord,113,180,reverse oblique,strike-slip,strike-slip
45,Contra Costa (Briones) [2],175,180,strike-slip,strike-slip,strike-slip
46,Contra Costa (Dillon Point) [2],142,180,reverse oblique,strike-slip,strike-slip
47,Contra Costa (Lafayette),174,180,strike-slip,strike-slip,strike-slip
48,Contra Costa (Lake Chabot) [2],145,180,reverse oblique,strike-slip,strike-slip
49,Contra Costa (Larkey) [2],110,180,reverse oblique,strike-slip,strike-slip
50,Contra Costa (Ozal - Columbus) [2],141,180,reverse oblique,strike-slip,strike-slip
51,Contra Costa (Reliez Valley) [2],174,180,strike-slip,strike-slip,strike-slip
52,Contra Costa (Southampton) [2],131,180,reverse oblique,strike-slip,strike-slip
53,Contra Costa (Vallejo) [2],144,180,reverse oblique,strike-slip,strike-slip
56,Coronado Bank [2],91,180,reverse,strike-slip,strike-slip
57,Coyote Canyon,0,0,strike-slip,strike-slip,strike-slip
58,Coyote Lake,0,0,strike-slip,strike-slip,strike-slip
59,Cucamonga,34,176,reverse oblique,strike-slip,reverse oblique
60,Cuyama (south),56,168,reverse oblique,strike-slip,reverse
61,Davis Creek,-90,-90,normal,normal,normal
62,Death Valley (Black Mountains),-177,-150,strike-slip,normal oblique,normal oblique
63,Death Valley (Fish Lake Valley),-177,-139,strike-slip,normal oblique,strike-slip
64,Death Valley (north),-177,180,strike-slip,strike-slip,strike-slip
65,Death Valley (south),-177,180,strike-slip,strike-slip,strike-slip
66,Deep Springs,-90,-90,normal,normal,normal
67,Del Valle,46,142,reverse oblique,reverse oblique,reverse
68,Dog Valley,-74,0,normal,strike-slip,normal oblique
69,Dry Mountain,-90,-90,normal,normal,normal
70,Earthquake Valley (center),150,180,reverse oblique,strike-slip,strike-slip
71,Earthquake Valley (north),145,180,reverse oblique,strike-slip,strike-slip
72,Earthquake Valley (south),163,180,strike-slip,strike-slip,strike-slip
73,East Huasna,70,180,reverse,strike-slip,reverse oblique
74,Eaton Roughs,93,180,reverse,strike-slip,reverse oblique
75,Elmore Ranch,0,0,strike-slip,strike-slip,strike-slip
76,Elysian Park (lower),38,172,reverse oblique,strike-slip,reverse oblique
77,Elysian Park (upper),35,169,reverse oblique,strike-slip,reverse oblique
78,Emerson - Copper Mountain,0,180,strike-slip,strike-slip,strike-slip
79,Eureka Peak,180,180,strike-slip,strike-slip,strike-slip
81,Fish Slough,-159,-90,normal oblique,normal,normal oblique
82,Fitzhugh Creek,-90,-90,normal,normal,normal
83,Fontana (seismicity),0,0,strike-slip,strike-slip,strike-slip
84,Franklin,117,180,reverse oblique,strike-slip,strike-slip
85,Garberville - Briceland,120,180,reverse oblique,strike-slip,reverse oblique
86,Garlic Springs,0,180,strike-slip,strike-slip,strike-slip
87,Gillem - Big Crack,-90,-90,normal,normal,normal
88,Goldstone Lake,180,180,strike-slip,strike-slip,strike-slip
89,Gravel Hills - Harper Lake,180,180,strike-slip,strike-slip,strike-slip
90,Great Valley 1,90,108,reverse,reverse,reverse
91,Great Valley 10 (Panoche),90,90,reverse,reverse,reverse
92,Great Valley 11,90,90,reverse,reverse,reverse
93,Great Valley 12,90,90,reverse,reverse,reverse
94,Great Valley 13 (Coalinga),90,90,reverse,reverse,reverse
95,Great Valley 14 (Kettleman Hills),90,90,reverse,reverse,reverse
96,Great Valley 2,90,109,reverse,reverse,reverse
97,Great Valley 3 (Mysterious Ridge),90,124,reverse,reverse oblique,reverse
98,Great Valley 3a (Dunnigan Hills),90,90,reverse,reverse,reverse
99,Great Valley 4a (Trout Creek),90,133,reverse,reverse oblique,reverse
100,Great Valley 4b (Gordon Valley),90,144,reverse,reverse oblique,reverse
102,Great Valley 5 (Pittsburg - Kirby Hills) [2],90,154,reverse,reverse oblique,reverse
104,Great Valley 6 (Midland) [2],90,144,reverse,reverse oblique,reverse
105,Great Valley 7 (Orestimba),90,90,reverse,reverse,reverse
106,Great Valley 8 (Quinto),90,168,reverse,strike-slip,reverse oblique
107,Great Valley 9 (Laguna Seca),90,90,reverse,reverse,reverse
108,Green Valley,92,180,reverse,strike-slip,strike-slip
109,Greenville (north),93,180,reverse,strike-slip,strike-slip
110,Greenville (south),102,180,reverse,strike-slip,strike-slip
